country,initial_r_0,inflection_date,post_mitigation_r,reopen_date,reopen_r,cur_date,current_r
Panama,1.45,2020-03-18,0.99,2020-05-15,1.24,2020-09-12,0.90
Peru,2.30,2020-04-02,1.05,2020-06-01,1.17,2020-09-12,0.85
Philippines,1.18,2020-03-15,0.92,2020-06-01,1.31,2020-09-12,1.01
Poland,1.50,2020-03-19,0.93,2020-05-25,1.17,2020-09-12,1.00
Portugal,2.23,2020-03-10,0.78,2020-05-25,1.07,2020-09-12,0.96
Romania,1.75,2020-03-15,0.82,2020-05-25,1.36,2020-09-12,0.97
Russia,1.65,2020-04-19,0.93,2020-05-15,1.02,2020-09-12,0.97
Saudi Arabia,2.55,2020-03-23,1.13,2020-06-21,1.07,2020-09-12,0.97
Serbia,1.68,2020-03-24,0.73,2020-05-15,1.39,2020-09-12,0.94
Slovakia,1.54,2020-03-28,0.50,2020-05-25,1.38,2020-09-12,1.01
Slovenia,1.55,2020-03-20,0.63,2020-05-25,1.07,2020-09-12,0.98
South Africa,2.76,2020-03-31,1.14,2020-06-01,1.03,2020-09-12,0.90
South Korea,2.21,2020-02-21,0.83,2020-05-06,1.25,2020-09-12,1.02
Spain,3.50,2020-03-04,0.75,2020-05-25,1.42,2020-09-12,0.94
Sweden,2.01,2020-03-17,0.90,2020-05-25,0.89,2020-09-12,0.84
Switzerland,2.37,2020-03-08,0.66,2020-05-25,1.25,2020-09-12,0.98
Turkey,2.66,2020-03-19,0.71,2020-06-01,1.13,2020-09-12,1.01
Ukraine,1.84,2020-03-23,0.98,2020-05-15,1.23,2020-09-12,1.02
United Arab Emirates,1.74,2020-04-03,0.81,2020-06-01,1.10,2020-09-12,0.98
United Kingdom,3.01,2020-03-10,0.85,2020-06-01,1.04,2020-09-12,0.90
United States,2.27,2020-03-15,0.89,2020-05-10,1.28,2020-09-12,0.96
