abbr,country,population,case_7day_perc_change,death_7day_perc_change,test_7day_perc_change,case_7day_change,death_7day_change,test_7day_change,current_r,cur_infected_perc,total_infected_perc,Confirmed,Deaths,daily_tests_7day_ma,pos_rate_7day_ma,net_hosp_7day_ma,daily_confirmed_7day_ma,daily_deaths_7day_ma,c19pro_score_cases,c19pro_score_deaths
CAN,Canada,37411047,0.3857842309640387,0.33333333333333315,,326.42857142857156,1.7142857142857135,,1.054239534177435,0.0016710037545861788,0.04056411465843231,151087,9297,,,,1172.5714285714287,6.857142857142857,-2.579764226547598,-0.17857603682006576
CHL,Chile,18952038,-0.1600032048714045,-0.09418282548476449,,-285.2857142857142,-4.857142857142854,,0.9497746241172673,0.010551688425276479,0.13047098153771114,451634,12469,,,,1497.7142857142858,46.714285714285715,1.8465281680479588,0.7572331034566471
CHN,China,1433783686,-0.22155688622754485,-0.3333333333333333,,-5.285714285714285,-0.14285714285714285,,0.9824146855994544,7.262601814817971e-06,0.0010811038060590682,90424,4738,,,,18.571428571428573,0.2857142857142857,0.0004575282276902842,0.00045519967276570837
COL,Colombia,50339443,-0.04876118585255974,-0.2223021582733814,,-343.28571428571377,-44.14285714285717,,0.9090840120612188,0.008874472448970085,0.11446415885054588,790823,24746,,,,6696.857142857143,154.42857142857142,0.9298457282163365,12.652457259371849
HRV,Croatia,4076246,-0.05066079295154187,-0.23333333333333334,,-9.857142857142861,-1.0,,1.019495546035601,0.004626560811099232,0.03728430521612287,15572,261,,,,184.71428571428572,3.2857142857142856,0.0672083550064723,0.29040128061419196
CUB,Cuba,11333483,-0.013089005235602113,2.0000000000000004,,-0.7142857142857153,0.8571428571428572,,1.0025633814394477,0.00033458381681959553,0.003371779002094943,5310,118,,,,53.857142857142854,1.2857142857142858,0.0005398879731636598,-0.4073917757847858
CYP,Cyprus,875899,1.5609756097560976,0.0,,9.142857142857142,0.0,,0.9454399499829013,0.0008357127933700118,0.010245473507790282,1663,22,,,,15.0,0.0,-0.3499250554065516,-0.0
CZE,Czechia,10649800,0.2109521376256175,0.9024390243902439,,353.8571428571429,5.285714285714286,,1.112103276068107,0.010721046404627317,0.03809433040996075,58374,567,,,,2031.2857142857142,11.142857142857142,-5.098153881483186,-3.64021502871325
DNK,Denmark,5806081,0.42931937172774864,0.6666666666666669,,152.28571428571428,0.5714285714285715,,1.047530456629791,0.0024787804372691322,0.030456516193969736,25385,645,,,,507.0,1.4285714285714286,-2.9293975602199236,-0.1606833365985341
DOM,Dominican Republic,10738958,-0.09819004524886878,-0.43749999999999994,,-62.0,-5.999999999999999,,0.9794716510793392,0.005075725223992868,0.04999209420504298,110122,2076,,,,569.4285714285714,7.714285714285714,0.2955620353944832,1.8234341259115507
