date,Province_State,Confirmed,Deaths,daily_deaths,daily_confirmed,daily_tests,net_hosp,daily_tests_7day_ma,pos_rate_7day_ma,net_hosp_7day_ma,daily_confirmed_7day_ma,daily_deaths_7day_ma,prevalence_ratio_7day_ma,cur_implied_cfr_as_of_2020-08-10,total_implied_cfr_as_of_2020-08-10,cur_implied_ifr_as_of_2020-07-27,total_implied_ifr_as_of_2020-07-27,total_infections_as_of_2020-08-10,perc_infected_as_of_2020-08-10,population
2020-08-24,Michigan,107686,6663,4.0,878.0,21422.0,-9.0,30669.571428571428,0.022996268986943787,-2.2857142857142856,705.2857142857142,10.142857142857142,4.926323321541795,0.014395782643957824,0.06847470865105955,0.0028565408612450326,0.00944906266101803,754988,0.07559813624781334,9986857
2020-08-24,Maryland,104669,3694,3.0,567.0,14697.0,0.0,12854.428571428569,0.043942610106578066,-4.0,564.8571428571429,7.571428571428571,5.853998835313451,0.010363707469691043,0.03837603108313075,0.0016743870414881415,0.004849020283712363,815144,0.13483080667243735,6045680
2020-08-24,Indiana,87592,3225,5.0,1660.0,24236.0,18.0,12486.428571428569,0.07535038041301986,1.7142857142857142,940.8571428571428,12.857142857142858,6.892003800742104,0.013721603903033999,0.0430045871559633,0.001910810501815199,0.005848162390170097,639391,0.09497469646419356,6732219
2020-08-24,Mississippi,78405,2248,8.0,511.0,8414.0,-79.0,2581.857142857143,0.33159962374813257,-25.42857142857143,856.1428571428571,21.857142857142854,11.71355000417982,0.02345187001839362,0.033230350781238455,0.002408174940968008,0.003904388407917451,689945,0.23182443662546237,2976149
2020-08-24,Missouri,76597,1453,0.0,814.0,4879.0,0.0,8727.857142857143,0.11982977330387105,14.857142857142858,1053.142857142857,5.428571428571429,8.038629971914624,0.005318404478656404,0.024072632084693252,0.0006537468470079953,0.0034275798836788094,548269,0.0893319683312872,6137428
2020-08-24,Washington,71371,1867,4.0,359.0,417.0,2.0,507.28571428571433,1.0,-2.571428571428572,521.4285714285714,11.714285714285715,18.5,0.01662611516626115,0.029334129403261792,0.0008987089279060083,0.004562727606775123,562178,0.07382604375639479,7614893
2020-08-24,Wisconsin,70854,1081,0.0,392.0,4887.0,-12.0,8355.142857142857,0.0838491262866327,-6.2857142857142865,665.4285714285714,6.0,7.1330741769777415,0.007326007326007326,0.017703607867542295,0.0011294078184928345,0.002785477321130229,458593,0.07876300355318147,5822434
2020-08-24,Minnesota,70298,1817,4.0,714.0,7490.0,9.0,9683.857142857143,0.0675940814610471,3.4285714285714284,654.5714285714286,8.428571428571429,6.659817887122951,0.011904761904761906,0.029537031016320957,0.0017786254917845042,0.004944048281470965,426412,0.07560980750045379,5639632
2020-08-24,Nevada,66010,1200,3.0,409.0,2448.0,-54.0,3607.714285714286,0.1600934505424883,-14.0,577.5714285714286,17.571428571428573,8.901868738023063,0.021306080027715227,0.021062978305132346,0.00242324339299294,0.002629356591850641,544537,0.17678873259052183,3080156
2020-08-24,Iowa,56909,1047,10.0,463.0,2122.0,15.0,4302.0,0.12987314870160058,-1.1428571428571428,582.8571428571429,8.571428571428571,8.266066776201066,0.018404907975460124,0.021295637140242043,0.002498395138928702,0.00285247251961196,423710,0.13429465794389867,3155070
