date,Province_State,Confirmed,Deaths,daily_deaths,daily_confirmed,daily_tests,net_hosp,daily_tests_7day_ma,pos_rate_7day_ma,rt_estimate,net_hosp_7day_ma,daily_confirmed_7day_ma,daily_deaths_7day_ma,prevalence_ratio_7day_ma,true_inf_est_7day_ma,implied_ifr_7day_ma
2020-04-22,Iowa,3748,90,7.0,107.0,629.0,58.0,1196.4285714285713,0.2093134328358209,1.294683405008854,14.428571428571429,250.42857142857142,5.285714285714286,9.820125600423134,4558.888240756905,0.0027262285829818744
2020-04-23,Iowa,3924,96,6.0,176.0,1018.0,10.0,1226.7142857142858,0.2076394549901013,1.2038119947830899,15.285714285714286,254.71428571428572,5.142857142857143,9.79079559975905,5028.888140712544,0.002613471760577862
2020-04-24,Iowa,4445,107,11.0,521.0,2711.0,-4.0,1454.4285714285713,0.2075434633140163,1.0981653366835933,13.571428571428571,301.85714285714283,6.142857142857143,9.789110138308253,4384.176517772233,0.00286745493035408
2020-04-25,Iowa,5092,112,5.0,647.0,2377.0,15.0,1629.0,0.22616855213540296,1.1119563598430715,14.285714285714286,368.42857142857144,5.428571428571429,10.1091490553585,3484.8437956329626,0.004099384398123225
2020-04-26,Iowa,5476,118,6.0,384.0,1740.0,-7.0,1648.5714285714287,0.22305025996533795,1.1178121524095295,12.571428571428571,367.7142857142857,6.142857142857143,10.056511533182922,3314.391288247925,0.004525717905784563
2020-04-27,Iowa,5868,127,9.0,392.0,2060.0,14.0,1761.4285714285713,0.2197080291970803,1.0496604361241,12.285714285714286,387.0,6.857142857142857,9.999683691626771,3149.0474346981437,0.004581884435778434
2020-04-28,Iowa,6376,136,9.0,508.0,1673.0,4.0,1744.0,0.22403342070773263,1.0789540009070668,12.857142857142858,390.7142857142857,7.571428571428571,10.073147014364608,3354.361219810164,0.004684732706030701
2020-04-29,Iowa,6843,148,12.0,467.0,1514.0,19.0,1870.4285714285713,0.2363858550370427,1.1389703692059308,7.285714285714286,442.14285714285717,8.285714285714286,10.279124558038838,3389.132901289084,0.004341607763062055
2020-04-30,Iowa,7145,162,14.0,302.0,1330.0,12.0,1915.0,0.24028347631480793,1.0624088718176639,7.571428571428571,460.14285714285717,9.428571428571429,10.34299495961784,2956.717844405727,0.004638347801848559
2020-05-01,Iowa,7884,170,8.0,739.0,2925.0,10.0,1945.5714285714287,0.25251486893310815,1.1320985188376333,9.571428571428571,491.2857142857143,9.0,10.540137215674598,2901.5456940293975,0.00492348416745959
2020-05-02,Iowa,8643,175,5.0,759.0,757.0,8.0,1714.142857142857,0.29577464788732394,1.3462168358991156,8.571428571428571,507.2857142857143,9.0,11.201626851293666,2935.8165995994386,0.004136108891990701
2020-05-03,Iowa,9175,184,9.0,532.0,6837.0,25.0,2442.285714285714,0.21601544220870378,0.9642107928642982,13.142857142857142,528.4285714285714,9.428571428571429,9.936393830710433,2938.803393581483,0.003840241341208106
2020-05-04,Iowa,9703,188,4.0,528.0,3975.0,11.0,2715.8571428571427,0.20172531692178217,0.8533730450587702,12.714285714285714,547.8571428571429,8.714285714285714,9.68621465946963,2805.4273395523237,0.0050412487764213455
2020-05-05,Iowa,10111,207,19.0,408.0,3408.0,18.0,2963.714285714286,0.18003470548539477,0.7492596172094743,14.714285714285714,533.5714285714286,10.142857142857142,9.288879480758299,2508.2788126500905,0.004784157143727395
