date,Country_Region,Confirmed,Deaths,daily_deaths,daily_confirmed,daily_confirmed_7day_ma,daily_deaths_7day_ma,cur_implied_cfr_as_of_2020-09-07,total_implied_cfr_as_of_2020-09-07,population
2020-09-21,Ecuador,126711,11095,5.0,292.0,1114.2857142857142,24.714285714285715,-0.04707482993197279,0.10077934818152091,17373662
2020-09-21,Romania,113589,4458,23.0,808.0,1343.142857142857,39.0,0.032667225080770614,0.04648737708166053,19414458
2020-09-21,Dominican Republic,108783,2054,7.0,494.0,667.5714285714286,10.0,0.013505691684352693,0.020560972191635468,10738958
2020-09-21,Panama,106810,2272,15.0,607.0,658.0,14.142857142857142,0.02154046997389034,0.0232839369530017,4246439
2020-09-21,Belgium,103392,9950,2.0,1097.0,1298.0,3.2857142857142856,0.006510048117746958,0.11208867960661943,11455519
2020-09-21,Morocco,103119,1855,25.0,1376.0,2130.8571428571427,34.42857142857143,0.021537086684539766,0.025142314990512334,36471769
2020-09-21,Egypt,102141,5787,17.0,126.0,137.71428571428572,18.0,0.11433756805807624,0.05784628302396018,100388073
2020-09-21,Netherlands,100491,6327,3.0,2274.0,1899.571428571429,4.428571428571429,0.005667276051188301,0.08039185789433559,17282163
2020-09-21,Kuwait,99964,585,1.0,530.0,641.7142857142858,3.1428571428571432,0.004168245547555893,0.006472169670417206,4207083
2020-09-21,China,90381,4737,0.0,12.0,23.142857142857146,0.2857142857142857,0.012195121951219511,0.05290963922707472,1433783686
2020-09-21,Sweden,88237,5865,0.0,0.0,247.42857142857144,2.7142857142857144,0.01611535199321459,0.06854998948082003,10230185
2020-09-21,United Arab Emirates,85595,405,1.0,679.0,761.2857142857142,0.8571428571428571,0.0014207909069381957,0.005439600290112015,9770529
2020-09-21,Poland,79988,2298,5.0,748.0,779.8571428571429,13.571428571428573,0.02530633990410229,0.03230886033236791,37972812
2020-09-21,Japan,79462,1518,10.0,320.0,506.8571428571428,9.0,0.016505108724128897,0.02102172799158023,126860301
2020-09-21,Belarus,75898,785,5.0,224.0,219.7142857142857,4.142857142857143,0.02441077441077441,0.010748860073119634,9452411
2020-09-21,Honduras,72075,2204,20.0,459.0,493.57142857142856,16.714285714285715,0.030789473684210526,0.03400499891998642,9746117
2020-09-21,Portugal,69200,1920,8.0,623.0,657.7142857142858,7.0,0.019639278557114226,0.03173186573454311,10276617
2020-09-21,Nigeria,57437,1100,2.0,195.0,149.85714285714286,2.4285714285714284,0.014756944444444442,0.01994198694706309,200963599
2020-09-21,Czechia,50764,522,19.0,1474.0,1934.571428571429,8.142857142857142,0.01390922401171303,0.01817801922273297,10649800
2020-09-21,Switzerland,50378,2050,5.0,1095.0,420.28571428571433,3.571428571428572,0.010351966873706006,0.04597237172587011,8591365
2020-09-21,Algeria,50023,1679,7.0,197.0,218.14285714285717,8.428571428571429,0.02732746641963872,0.035989111096821215,43053054
2020-09-21,Moldova,46796,1211,8.0,200.0,512.7142857142857,11.714285714285715,0.026156299840510374,0.03023342903507677,4043263
2020-09-21,Austria,38658,767,1.0,563.0,731.0,1.4285714285714286,0.004710315591144607,0.02594634822908562,8858775
2020-09-21,Ireland,33121,1792,0.0,188.0,275.57142857142856,1.1428571428571428,0.0083073727933541,0.060186740108819775,4904240
2020-09-21,Serbia,32938,743,2.0,30.0,71.57142857142857,1.4285714285714286,0.018691588785046728,0.02326163864625403,6963764
